Test ID,Function,Input,Expected Behavior
TC-M165,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[2, 12, 5, 13, 19]",bar rendered correctly
TC-M166,pyplot.scatter,"x=[0, 1, 2], y=[10, 8, 2], color='cyan'",scatter rendered correctly
TC-M167,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[9, 8, 9, 9, 5, 6, 0, 2, 6], color='#FF00FF'",scatter rendered correctly
TC-M168,pyplot.pie,"sizes=[81, 52, 57, 50]",pie rendered correctly
TC-M169,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[10, 12, 2]",bar rendered correctly
TC-M170,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[5, 3, 2, 10, 6, 10, 9, 10, 8], yerr=[0.62, 0.62, 0.31, 0.21, 0.43, 0.8, 0.45, 0.11, 0.93]",errorbar rendered correctly
TC-M171,pyplot.boxplot,"data=[[5, 18, 19, 4, 15, 11], [9, 7, 12, 12, 0]]",boxplot rendered correctly
TC-M172,pyplot.imshow,array=9x9 random floats,imshow rendered correctly
TC-M173,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6], y=[8, 0, 7, 1, 0, 6, 5], color='blue'",scatter rendered correctly
TC-M174,pyplot.scatter,"x=[0, 1, 2], y=[5, 5, 4], color='red'",scatter rendered correctly
TC-M175,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[3, 0, 1, 10, 8, 10, 4, 6, 5, 1]",plot rendered correctly
TC-M176,pyplot.pie,"sizes=[16, 100]",pie rendered correctly
TC-M177,pyplot.scatter,"x=[0, 1, 2], y=[3, 9, 10], color='red'",scatter rendered correctly
TC-M178,pyplot.pie,"sizes=[9, 91, 57]",pie rendered correctly
TC-M179,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[2, 10, 2, 8, 9, 6, 1, 8, 1, 6], y2=[14, 15, 7, 12, 15, 15, 7, 7, 13, 7]",fill_between rendered correctly
TC-M180,pyplot.imshow,array=16x16 random floats,imshow rendered correctly
TC-M181,pyplot.boxplot,"data=[[13, 10, 5, 18, 15, 7, 18, 4, 13], [19, 9, 11, 0, 14, 1]]",boxplot rendered correctly
TC-M182,pyplot.boxplot,"data=[[19, 18, 0, 8, 11, 20, 19, 5, 17, 2], [8, 11, 8, 7, 14, 13, 14, 0, 2]]",boxplot rendered correctly
TC-M183,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6], y=[9, 9, 0, 3, 5, 1, 2], color='green'",scatter rendered correctly
TC-M184,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[3, 5, 7, 0, 6, 8, 5, 2, 0, 0]",plot rendered correctly
TC-M185,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6], y=[0, 10, 5, 6, 6, 1, 9]",plot rendered correctly
TC-M186,pyplot.boxplot,"data=[[1, 18, 4, 7, 18, 9, 5, 8], [2, 18, 19, 3, 10, 6, 15, 4, 16, 12], [4, 2, 20, 6, 0, 9], [11, 8, 0, 3, 9, 2]]",boxplot rendered correctly
TC-M187,pyplot.plot,"x=[0, 1, 2, 3], y=[10, 4, 2, 2]",plot rendered correctly
TC-M188,pyplot.imshow,array=16x16 random floats,imshow rendered correctly
TC-M189,pyplot.boxplot,"data=[[6, 2, 4, 6, 4, 10], [6, 18, 4, 10, 0, 14], [9, 16, 0, 10, 6]]",boxplot rendered correctly
TC-M190,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[9, 2]",bar rendered correctly
TC-M191,pyplot.hist,"data=[2, 10, 0, 2, 3, 4, 4, 9, 1, 3, 3, 4, 7, 6, 7, 8, 4, 10, 4, 5, 9, 4, 10, 9, 5, 9, 10, 0, 7, 4, 3, 5, 8, 8, 10, 0, 6, 4, 10, 9, 2]",hist rendered correctly
TC-M192,pyplot.scatter,"x=[0, 1, 2, 3], y=[1, 3, 5, 3], color='blue'",scatter rendered correctly
TC-M193,pyplot.boxplot,"data=[[16, 15, 11, 18, 17, 12, 8, 13], [17, 12, 5, 0, 5, 5, 11], [12, 0, 13, 9, 17, 13, 1, 8, 1]]",boxplot rendered correctly
TC-M194,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7], y1=[0, 1, 5, 0, 4, 9, 7, 8], y2=[9, 13, 14, 11, 14, 9, 10, 8]",fill_between rendered correctly
TC-M195,pyplot.plot,"x=[0, 1, 2, 3], y=[10, 8, 1, 1]",plot rendered correctly
TC-M196,pyplot.boxplot,"data=[[0, 7, 9, 6, 19, 10, 19]]",boxplot rendered correctly
TC-M197,pyplot.errorbar,"x=[0, 1, 2, 3, 4], y=[2, 1, 7, 3, 0], yerr=[0.89, 0.85, 0.88, 0.41, 0.21]",errorbar rendered correctly
TC-M198,pyplot.pie,"sizes=[13, 42, 15]",pie rendered correctly
TC-M199,pyplot.errorbar,"x=[0, 1, 2, 3, 4], y=[9, 1, 8, 6, 7], yerr=[0.85, 0.86, 0.53, 0.28, 0.66]",errorbar rendered correctly
TC-M200,pyplot.boxplot,"data=[[20, 2, 15, 19, 11, 10, 6, 10, 16], [14, 9, 15, 12, 5, 19, 11, 9, 13, 7]]",boxplot rendered correctly
TC-M201,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5], y=[4, 7, 8, 10, 10, 8], color='cyan'",scatter rendered correctly
TC-M202,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[9, 2, 10, 7, 1, 3, 9, 4, 5, 1], color='#FF00FF'",scatter rendered correctly
TC-M203,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7], y1=[9, 0, 4, 10, 0, 7, 4, 5], y2=[5, 13, 8, 9, 13, 13, 5, 10]",fill_between rendered correctly
TC-M204,pyplot.hist,"data=[3, 3, 7, 0, 6, 4, 10, 9, 3, 3, 9, 0, 0, 3, 8]",hist rendered correctly
TC-M205,pyplot.hist,"data=[6, 2, 10, 10, 10, 8, 7, 5, 2, 9, 0, 5, 6, 4, 2, 0, 7, 4, 10, 3, 1, 6, 4, 8, 3, 5, 6, 5, 10, 0, 10, 7, 4, 10, 9, 10, 9, 8]",hist rendered correctly
TC-M206,pyplot.hist,"data=[3, 9, 9, 4, 5, 7, 9, 10, 4, 6, 0, 2, 5, 1, 4, 7, 7, 5, 7, 7, 0, 1]",hist rendered correctly
TC-M207,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6], y1=[1, 1, 10, 7, 7, 2, 2], y2=[13, 8, 9, 14, 13, 15, 13]",fill_between rendered correctly
TC-M208,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[0, 7, 9, 3, 6, 2, 0, 0, 4, 0], yerr=[0.96, 0.33, 0.41, 0.22, 0.86, 0.86, 0.36, 0.43, 0.33, 0.36]",errorbar rendered correctly
TC-M209,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[5, 7, 1, 7, 2, 2, 2, 10], color='cyan'",scatter rendered correctly
TC-M210,pyplot.pie,"sizes=[14, 86, 81, 46, 75]",pie rendered correctly
TC-M211,pyplot.boxplot,"data=[[17, 17, 0, 14, 1, 1, 6, 17, 17, 17], [6, 19, 9, 19, 19, 0]]",boxplot rendered correctly
TC-M212,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[10, 20, 2]",bar rendered correctly
TC-M213,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5], y=[5, 9, 3, 0, 4, 3], color='red'",scatter rendered correctly
TC-M214,pyplot.boxplot,"data=[[11, 0, 12, 1, 9, 17, 4], [9, 6, 6, 5, 8, 8], [19, 1, 19, 13, 17, 16], [20, 8, 9, 1, 8, 8]]",boxplot rendered correctly
TC-M215,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[1, 9, 5, 7]",bar rendered correctly
TC-M216,pyplot.boxplot,"data=[[2, 9, 13, 19, 2, 20, 11, 14, 8], [5, 7, 6, 7, 2, 18, 17, 19], [9, 16, 15, 9, 10, 0, 13], [4, 14, 6, 15, 14, 15, 17]]",boxplot rendered correctly
TC-M217,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[20, 18]",bar rendered correctly
TC-M218,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6], y1=[8, 1, 6, 2, 0, 6, 8], y2=[15, 12, 5, 9, 6, 11, 8]",fill_between rendered correctly
TC-M219,pyplot.plot,"x=[0, 1, 2, 3, 4], y=[2, 8, 6, 10, 9]",plot rendered correctly
TC-M220,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5], y=[3, 7, 5, 8, 1, 4], yerr=[0.33, 0.31, 0.91, 0.18, 0.6, 0.49]",errorbar rendered correctly
TC-M221,pyplot.hist,"data=[4, 5, 5, 4, 4, 2, 1, 8, 8, 0, 1, 8, 10, 8, 5, 2, 7, 7]",hist rendered correctly
TC-M222,pyplot.imshow,array=16x16 random floats,imshow rendered correctly
TC-M223,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[10, 7, 8, 3, 10, 7, 1, 0, 0]",plot rendered correctly
TC-M224,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[4, 1, 4, 20]",bar rendered correctly
TC-M225,pyplot.imshow,array=13x13 random floats,imshow rendered correctly
TC-M226,pyplot.boxplot,"data=[[20, 11, 2, 0, 6, 5], [5, 14, 11, 16, 19, 18, 5, 7], [15, 6, 3, 8, 10]]",boxplot rendered correctly
TC-M227,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[10, 9, 9, 3, 3, 5, 5, 4, 5, 0], yerr=[0.1, 0.97, 0.54, 0.84, 0.14, 0.15, 0.57, 0.39, 0.29, 0.29]",errorbar rendered correctly
TC-M228,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[1, 13, 12, 6, 4]",bar rendered correctly
TC-M229,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[6, 15, 9, 3, 7]",bar rendered correctly
TC-M230,pyplot.pie,"sizes=[69, 59, 38]",pie rendered correctly
TC-M231,pyplot.scatter,"x=[0, 1, 2, 3], y=[7, 4, 6, 4], color='cyan'",scatter rendered correctly
TC-M232,pyplot.plot,"x=[0, 1, 2, 3, 4], y=[6, 7, 0, 6, 9]",plot rendered correctly
TC-M233,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[13, 20, 19, 2, 18]",bar rendered correctly
TC-M234,pyplot.boxplot,"data=[[7, 9, 13, 8, 14, 0, 11, 15, 10], [11, 16, 18, 13, 11], [12, 1, 6, 11, 1, 11, 0, 14, 19, 20], [6, 10, 0, 0, 5, 0, 14, 0, 4]]",boxplot rendered correctly
TC-M235,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[17, 1, 7, 1, 7]",bar rendered correctly
TC-M236,pyplot.boxplot,"data=[[15, 13, 7, 6, 10, 0], [19, 20, 17, 12, 3, 17, 9, 10, 17], [14, 16, 16, 7, 3], [7, 2, 1, 7, 17, 9, 5, 8, 5], [0, 9, 20, 20, 8]]",boxplot rendered correctly
TC-M237,pyplot.pie,"sizes=[22, 100, 71, 87, 18]",pie rendered correctly
TC-M238,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[2, 0, 0, 7, 9, 3, 0, 6, 1, 5], yerr=[0.71, 0.21, 0.55, 0.97, 0.77, 0.8, 0.72, 0.81, 0.64, 0.5]",errorbar rendered correctly
TC-M239,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[10, 19, 9, 4]",bar rendered correctly
TC-M240,pyplot.plot,"x=[0, 1, 2, 3, 4], y=[2, 10, 10, 10, 6]",plot rendered correctly
TC-M241,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y1=[2, 4, 6, 9, 5, 0, 2, 8, 8], y2=[6, 12, 13, 6, 5, 12, 6, 8, 15]",fill_between rendered correctly
TC-M242,pyplot.plot,"x=[0, 1, 2], y=[6, 5, 9]",plot rendered correctly
TC-M243,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[10, 17]",bar rendered correctly
TC-M244,pyplot.pie,"sizes=[40, 92]",pie rendered correctly
TC-M245,pyplot.scatter,"x=[0, 1, 2], y=[6, 4, 10], color='red'",scatter rendered correctly
TC-M246,pyplot.imshow,array=17x17 random floats,imshow rendered correctly
TC-M247,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[6, 5, 7, 7, 10, 5, 2, 0, 10], color='green'",scatter rendered correctly
TC-M248,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[16, 6, 20]",bar rendered correctly
TC-M249,pyplot.imshow,array=20x20 random floats,imshow rendered correctly
TC-M250,pyplot.imshow,array=14x14 random floats,imshow rendered correctly
TC-M251,pyplot.hist,"data=[2, 6, 2, 4, 10, 6, 10, 6, 10, 8, 4, 3]",hist rendered correctly
TC-M252,pyplot.imshow,array=8x8 random floats,imshow rendered correctly
TC-M253,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[13, 9, 10, 12, 15]",bar rendered correctly
TC-M254,pyplot.boxplot,"data=[[4, 2, 3, 5, 20, 17, 4, 14, 14], [18, 4, 17, 16, 9, 16, 19, 20], [18, 4, 20, 19, 4, 8], [10, 17, 17, 7, 9, 20, 19, 18], [18, 20, 11, 15, 7, 17, 13, 3, 8, 3]]",boxplot rendered correctly
TC-M255,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[18, 17, 15, 8]",bar rendered correctly
TC-M256,pyplot.hist,"data=[4, 10, 3, 10, 7, 1, 1, 7, 9, 8, 9, 1, 1]",hist rendered correctly
TC-M257,pyplot.boxplot,"data=[[20, 0, 10, 18, 1, 14, 2, 6, 6, 13], [0, 8, 13, 0, 11, 16, 17, 1, 0, 0]]",boxplot rendered correctly
TC-M258,pyplot.imshow,array=12x12 random floats,imshow rendered correctly
TC-M259,pyplot.errorbar,"x=[0, 1, 2, 3], y=[9, 9, 7, 5], yerr=[0.98, 0.46, 0.19, 0.69]",errorbar rendered correctly
TC-M260,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[1, 8, 8, 3, 5, 7, 6, 5, 10], yerr=[0.48, 0.72, 0.82, 0.58, 0.6, 0.84, 0.82, 0.89, 0.5]",errorbar rendered correctly
TC-M261,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6], y=[8, 8, 10, 9, 8, 5, 10], yerr=[0.9, 0.91, 0.37, 0.97, 0.51, 0.68, 0.51]",errorbar rendered correctly
TC-M262,pyplot.pie,"sizes=[19, 74, 44, 49]",pie rendered correctly
TC-M263,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[19, 16]",bar rendered correctly
TC-M264,pyplot.hist,"data=[9, 5, 10, 4, 6, 3, 0, 2, 5, 2, 9, 2, 4, 3, 1, 1, 4, 9, 1, 10, 5, 7, 4, 8, 10]",hist rendered correctly
TC-M265,pyplot.boxplot,"data=[[3, 16, 16, 14, 19, 8], [9, 10, 6, 14, 11, 16, 4], [0, 4, 20, 13, 16, 20, 17, 15, 18, 15]]",boxplot rendered correctly
TC-M266,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[9, 3, 1, 9, 1, 5, 0, 0, 1], yerr=[0.92, 0.63, 0.21, 0.32, 0.98, 0.27, 0.64, 0.5, 0.84]",errorbar rendered correctly
TC-M267,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[5, 5, 1, 10, 10, 9, 0, 5, 7], yerr=[0.16, 0.97, 0.1, 0.78, 0.11, 0.36, 0.46, 0.38, 0.91]",errorbar rendered correctly
TC-M268,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[6, 1, 4, 5, 3, 0, 1, 5, 4, 4], y2=[5, 5, 10, 13, 12, 6, 12, 14, 11, 12]",fill_between rendered correctly
TC-M269,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[8, 4, 0, 1, 7, 0, 2, 4, 8, 5], color='green'",scatter rendered correctly
TC-M270,pyplot.boxplot,"data=[[20, 18, 8, 1, 13, 12, 19, 9, 4, 12], [9, 18, 17, 1, 0, 15, 7], [5, 10, 20, 18, 17, 14, 14, 9], [15, 9, 19, 1, 13, 5], [7, 13, 17, 18, 5, 9, 6]]",boxplot rendered correctly
TC-M271,pyplot.pie,"sizes=[4, 67, 31, 7]",pie rendered correctly
TC-M272,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[8, 10, 6, 3, 4, 3, 0, 10, 5], color='cyan'",scatter rendered correctly
TC-M273,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[10, 5, 18, 18, 15]",bar rendered correctly
TC-M274,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[17, 18, 5]",bar rendered correctly
TC-M275,pyplot.imshow,array=10x10 random floats,imshow rendered correctly
TC-M276,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[0, 0, 3, 1, 0, 3, 9, 3, 4, 10], y2=[7, 15, 5, 8, 13, 9, 10, 12, 11, 12]",fill_between rendered correctly
TC-M277,pyplot.pie,"sizes=[49, 24]",pie rendered correctly
TC-M278,pyplot.boxplot,"data=[[3, 17, 9, 14, 20, 6, 12, 0, 5, 10], [1, 11, 19, 3, 19, 5, 14, 0, 13, 11], [17, 10, 14, 17, 1]]",boxplot rendered correctly
TC-M279,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[20, 3, 8]",bar rendered correctly
TC-M280,pyplot.fill_between,"x=[0, 1, 2, 3, 4], y1=[6, 7, 1, 6, 3], y2=[9, 12, 15, 5, 12]",fill_between rendered correctly
TC-M281,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[9, 7, 6, 9, 0, 4, 3, 3, 3]",plot rendered correctly
TC-M282,pyplot.plot,"x=[0, 1], y=[2, 4]",plot rendered correctly
TC-M283,pyplot.boxplot,"data=[[5, 14, 16, 16, 13, 2, 4, 2, 3, 4], [6, 12, 2, 12, 4, 11, 9, 15], [2, 15, 8, 6, 9, 5, 12, 3, 16, 0], [20, 17, 13, 8, 2, 13, 6, 5, 10], [5, 8, 17, 6, 5, 13, 14, 20]]",boxplot rendered correctly
TC-M284,pyplot.plot,"x=[0, 1, 2], y=[4, 5, 10]",plot rendered correctly
TC-M285,pyplot.imshow,array=15x15 random floats,imshow rendered correctly
TC-M286,pyplot.scatter,"x=[0, 1, 2], y=[5, 2, 0], color='#FF00FF'",scatter rendered correctly
TC-M287,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5], y1=[6, 7, 6, 9, 5, 0], y2=[9, 11, 5, 5, 15, 15]",fill_between rendered correctly
TC-M288,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[0, 4, 10, 6, 8, 3, 0, 5, 1], yerr=[0.22, 0.66, 0.1, 0.5, 0.34, 0.15, 0.71, 0.89, 0.97]",errorbar rendered correctly
TC-M289,pyplot.errorbar,"x=[0, 1, 2, 3], y=[3, 10, 6, 9], yerr=[0.7, 0.68, 0.19, 0.86]",errorbar rendered correctly
TC-M290,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y1=[4, 2, 2, 7, 6, 5, 9, 1, 4], y2=[14, 7, 8, 12, 11, 5, 9, 9, 11]",fill_between rendered correctly
TC-M291,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7], y1=[4, 4, 9, 10, 6, 2, 1, 9], y2=[14, 10, 12, 15, 15, 10, 6, 9]",fill_between rendered correctly
TC-M292,pyplot.hist,"data=[7, 0, 1, 9, 0, 10, 10, 10, 0, 2, 3, 0, 1, 9, 5]",hist rendered correctly
TC-M293,pyplot.imshow,array=11x11 random floats,imshow rendered correctly
TC-M294,pyplot.boxplot,"data=[[7, 4, 3, 6, 12, 6, 8, 15], [14, 5, 9, 19, 17, 17], [20, 18, 20, 13, 9, 10, 9, 10], [11, 1, 15, 2, 12, 14]]",boxplot rendered correctly
TC-M295,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[14, 9, 16, 6]",bar rendered correctly
TC-M296,pyplot.scatter,"x=[0, 1, 2], y=[2, 10, 9], color='cyan'",scatter rendered correctly
TC-M297,pyplot.pie,"sizes=[92, 20]",pie rendered correctly
TC-M298,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7], y1=[3, 0, 7, 10, 3, 7, 7, 8], y2=[9, 5, 10, 13, 6, 5, 14, 6]",fill_between rendered correctly
TC-M299,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[10, 8, 7, 8, 3, 10, 3, 8], yerr=[0.7, 0.91, 0.28, 0.91, 0.68, 0.34, 0.43, 0.95]",errorbar rendered correctly
TC-M300,pyplot.boxplot,"data=[[13, 13, 18, 0, 10]]",boxplot rendered correctly
TC-M301,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5], y=[8, 6, 7, 9, 3, 6], yerr=[0.35, 0.93, 0.51, 0.7, 0.62, 0.88]",errorbar rendered correctly
TC-M302,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[4, 2, 17, 5]",bar rendered correctly
TC-M303,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6], y=[3, 4, 9, 9, 5, 3, 5]",plot rendered correctly
TC-M304,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[1, 11]",bar rendered correctly
TC-M305,pyplot.errorbar,"x=[0, 1, 2], y=[5, 9, 8], yerr=[0.17, 0.53, 0.56]",errorbar rendered correctly
TC-M306,pyplot.plot,"x=[0, 1, 2], y=[5, 6, 3]",plot rendered correctly
TC-M307,pyplot.hist,"data=[5, 1, 3, 6, 1, 8, 0, 4, 5, 7, 3, 0, 7, 3, 9, 8, 9, 8, 8, 3, 0, 6, 8, 8, 2, 3, 8, 8, 5, 0, 7, 5]",hist rendered correctly
TC-M308,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y1=[3, 6, 9, 7, 8, 5, 6, 2, 3], y2=[15, 11, 14, 14, 12, 9, 12, 7, 15]",fill_between rendered correctly
TC-M309,pyplot.errorbar,"x=[0, 1, 2, 3], y=[2, 1, 0, 7], yerr=[0.23, 0.82, 0.31, 0.84]",errorbar rendered correctly
TC-M310,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5], y1=[2, 10, 8, 7, 5, 3], y2=[9, 15, 7, 11, 14, 14]",fill_between rendered correctly
TC-M311,pyplot.boxplot,"data=[[7, 6, 14, 5, 11], [13, 8, 14, 7, 1], [8, 2, 12, 15, 19]]",boxplot rendered correctly
TC-M312,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6], y=[3, 5, 7, 9, 6, 5, 10], yerr=[0.21, 0.17, 0.94, 0.21, 0.68, 0.38, 0.92]",errorbar rendered correctly
TC-M313,pyplot.scatter,"x=[0, 1], y=[5, 4], color='red'",scatter rendered correctly
TC-M314,pyplot.scatter,"x=[0, 1], y=[10, 4], color='#FF00FF'",scatter rendered correctly
TC-M315,pyplot.plot,"x=[0, 1, 2, 3, 4, 5], y=[8, 0, 1, 3, 8, 7]",plot rendered correctly
TC-M316,pyplot.plot,"x=[0, 1], y=[6, 10]",plot rendered correctly
TC-M317,pyplot.pie,"sizes=[18, 8, 76, 12]",pie rendered correctly
TC-M318,pyplot.hist,"data=[6, 5, 1, 7, 7, 4, 9, 8, 4, 0, 4, 7, 7, 3, 2]",hist rendered correctly
TC-M319,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7], y1=[4, 10, 0, 4, 10, 4, 0, 8], y2=[11, 9, 11, 11, 9, 14, 7, 9]",fill_between rendered correctly
TC-M320,pyplot.pie,"sizes=[80, 57]",pie rendered correctly
TC-M321,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[20, 10, 4]",bar rendered correctly
TC-M322,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[17, 12, 17, 8, 20]",bar rendered correctly
TC-M323,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[10, 1, 0, 1, 0, 2, 9, 10, 6]",plot rendered correctly
TC-M324,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[5, 3, 6, 8, 2, 4, 1, 4, 8, 8], y2=[15, 10, 8, 8, 9, 14, 6, 11, 9, 9]",fill_between rendered correctly
TC-M325,pyplot.plot,"x=[0, 1, 2, 3, 4], y=[8, 5, 7, 8, 5]",plot rendered correctly
TC-M326,pyplot.boxplot,"data=[[16, 13, 0, 15, 16, 0, 2], [11, 3, 9, 11, 3, 7, 17, 2], [5, 12, 10, 14, 0, 17, 16, 20], [19, 20, 5, 0, 5, 11, 19]]",boxplot rendered correctly
TC-M327,pyplot.hist,"data=[7, 7, 7, 8, 3, 7, 2, 9, 5, 8, 1, 4, 9, 4, 8, 0, 9, 6, 1, 6, 3, 1, 5, 7, 3, 1, 9, 6, 7, 0, 1, 7, 3, 0, 9, 4, 5, 8, 1, 0, 0, 10, 5, 1, 9, 4, 6, 0, 8]",hist rendered correctly
TC-M328,pyplot.hist,"data=[7, 9, 2, 2, 9, 9, 6, 8, 0, 1, 3, 6, 5, 10, 9, 9, 4, 3, 5, 7, 4, 0, 6, 10, 3, 8, 6, 1, 7, 3, 10, 3, 5, 9, 2, 0, 10, 2, 4, 7, 1, 1, 9, 0, 2, 4, 2, 4, 2]",hist rendered correctly
TC-M329,pyplot.hist,"data=[1, 3, 9, 3, 3, 10, 4, 9, 7, 1, 4, 4, 3, 6, 9, 1, 2, 9, 5, 5, 0, 9, 8, 6, 6, 7, 10, 4, 10, 9, 8, 8, 4]",hist rendered correctly
TC-M330,pyplot.hist,"data=[6, 8, 8, 0, 9, 1, 1, 9, 3, 8, 9, 3, 1, 5, 6, 10, 0, 1, 9, 8, 0, 9, 3, 9, 0, 3, 8, 8, 1, 4, 4, 5, 10, 10, 0, 6, 10, 5, 0, 1]",hist rendered correctly
TC-M331,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[8, 3]",bar rendered correctly
TC-M332,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7], y1=[2, 1, 1, 9, 10, 2, 1, 0], y2=[8, 15, 14, 6, 13, 8, 11, 11]",fill_between rendered correctly
TC-M333,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[1, 3, 2]",bar rendered correctly
